category,question,optionA,optionB,optionC,optionD,correct,image,explanation
VFR,"What does the term ""BLIND TRANSMISSION"" mean?",A transmission of messages relating to enroute weather information which may affect the safety of aircraft operations that is not addressed to a specific station or stations.,A transmission where no reply is required from the receiving station.,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission from one station to another station in circumstances where two-way communication cannot be established but it is believed that the called station is able to receive the transmission.,4,,
VFR,"Which of the following calls is a ""GENERAL CALL""?",ALL STATIONS Stephenville CONTROL.,"YX-EFG, YX-FGH over.","YX-ABC, YX-BCD, YX-CDE Stephenville CONTROL.",YX-DEF Stephenville CONTROL.,1,,
VFR,What is meant by simplex communication?,Communication is possible in both directions (but not simultaneously).,Simplified communications by means of standard words and phrases.,All communication is possible in only one direction.,Communication is possible in both directions (simultaneously).,3,,
VFR,"What does the term ""AERONAUTICAL STATION"" mean?",A station in the aeronautical telecommunication service located on land or on board of an aircraft to exchange radiotelephony communications.,Any station established to exchange radiotelephony communications.,An airborne station forming part of the aeronautical fixed telecommunication network (AFTN).,"A station in the aeronautical mobile service located on land or, in certain instances, on board of a ship or on a platform at sea.",4,,
VFR,"What does the term ""BROADCAST"" mean?",A transmission containing meteorological and operational information to aircraft engaged in flights over remote and oceanic areas out of range of VHF ground stations.,A radiotelephony transmission from ground station to aircraft in flight.,A transmission of information relating to air navigation that is not addressed to a specific station or stations.,A transmission where no reply is required from the receiving station.,3,,
VFR,"Which abbreviation is used for the term ""CONTROL ZONE""?",CTZ,CTR,CZ,CTA,2,,
VFR,What does the abbreviation VFR mean?,Vertical Flight Range,Visual Flight Rules,Visual Flight Range,Visual Flight Regulations,2,,
VFR,"What does the abbreviation ""HJ"" mean?",Continuous day and night service.,No specific working hours.,Sunrise to Sunset.,Sunset to Sunrise.,3,,
VFR,"What does the abbreviation ""AFIS"" mean?",Aeronautical Flight Information System.,Automatic Flight Information Service.,Aerodrome Flight Information Service.,Aerodrome Flashing Identification Signal.,3,,
VFR,"What does the abbreviation ""FIR"" mean?",Flow Information Received.,Flight Information Region.,Flight Information Required.,Flight Information Radar.,2,,
VFR,"What does the abbreviation ""ATIS"" mean?",Aircraft Terminal Information Service.,Airport Terminal Information Service.,Air Traffic Information Service.,Automatic Terminal Information Service.,4,,
VFR,The abbreviation PAPI stands for.,Precision Approach Power Index.,Precision Approach Path Index.,Precision Approach Path Indicator.,Precision Approach Power Indicator.,3,,
VFR,"What does the abbreviation ""HX"" mean?",Sunrise to Sunset.,Continuous day and night service.,Sunset to Sunrise.,No specific working hours.,4,,
VFR,Which abbreviation is used for Coordinated Universal Time?,COUT,UTC,GMT,CUT,2,,
VFR,What does the abbreviation 'TMA' mean?,TCAS Minimum Altitude,Tropopause Minimum Altitude,Transponder Mandatory Area,Terminal Control Area,4,,
VFR,"What does the abbreviation ""AIS"" mean?",Aerodrome Identification Signal area.,Airport Information System.,Aeronautical Information Service.,Aerodrome Information Service.,3,,
VFR,If you are requested to report your height. To which Q-code setting would you refer?,QDM,QBI,QFE,QNH,3,,
VFR,What does QDM mean?,True heading to the station (no wind).,Magnetic bearing from the station.,True bearing from the station.,Magnetic heading to the station (no wind).,4,,
VFR,Which Q-code is used to report altitude?,QFE,QNJ,QNH,QFF,3,,
VFR,What is the Q-code for Magnetic bearing from the station?,QDR,QTE,QDM,QFE,1,,
VFR,You assume that your navigational instruments might be affected by some erroneous inputs from the receivers. Your intention is to plot true bearings from two stations with VDF facilities to confirm your position. Your request from each station will ask for.,QTE,QDM,QDR,QNH,1,,
VFR,What does QTE mean?,Magnetic bearing from the station.,True heading to the station (no wind).,True bearing from the station.,Magnetic heading to the station.,3,,
VFR,What does QDR mean?,True bearing from the station.,True heading to the station.,Magnetic heading to the station (no wind).,Magnetic bearing from the station.,4,,
VFR,What is the Q-code for True bearing from the station?,QTE,QFE,QDR,QDM,1,,
